method,idx,kp,lam,gamma,reg,power,clip,mean_pos,final_pos,drift,solver,score,ok
method1,129,80.0,0.01,1.0,0.1,1.0,1.0,0.02221828455811949,0.031618702236605754,0.20335129362028506,2.6125773099685543,0.02759159908550947,True
method1,130,80.0,0.01,1.0,0.1,1.0,2.0,0.01998498201590816,0.02127007894812006,0.16169263868562675,1.9720224386081382,0.024204846008924762,True
method1,131,80.0,0.01,1.0,1.0,1.0,1.0,0.05382094768412474,0.04652938333025358,0.22543654424944848,3.575025784589852,0.060117191461408634,False
method1,132,80.0,0.01,1.0,1.0,1.0,2.0,0.044486323707833314,0.05623639621723194,0.3425921244464294,4.458105270020976,0.053567218831772394,True
method1,133,80.0,0.01,2.0,0.01,1.0,1.0,0.008804802944231041,0.0027626978245702065,0.04875986192614022,0.4241516182134635,0.009992075991860578,True
method1,134,80.0,0.01,2.0,0.01,1.0,2.0,0.008541104334499455,0.0026998780793985413,0.04954026435198618,0.4614368111823892,0.009762628027130373,True
method1,135,80.0,0.01,2.0,0.1,1.0,1.0,0.020684497310367318,0.03123644686281168,0.19251548772721158,2.5818542746721014,0.0258257342022476,True
method1,136,80.0,0.01,2.0,0.1,1.0,2.0,0.018216515797392297,0.014830643610998936,0.11971958777170562,1.500323760337093,0.021361069432994956,True
method1,137,80.0,0.01,2.0,1.0,1.0,1.0,0.04749019462309936,0.0493613411120217,0.2786642497458032,3.8503164415879225,0.05498863783880939,True
method1,138,80.0,0.01,2.0,1.0,1.0,2.0,0.03524156967830642,0.038883390604502494,0.2582251624368506,3.214309710853335,0.042013227782470096,True
method1,139,80.0,0.01,5.0,0.01,1.0,1.0,0.007338708469080261,0.0078065298027377794,0.05640914822246765,0.7147160272206459,0.008824249447139937,True
method1,140,80.0,0.01,5.0,0.01,1.0,2.0,0.007306138213744275,0.007941585707076345,0.05698058418289786,0.7236055045610789,0.00880755264968277,True
method1,141,80.0,0.01,5.0,0.1,1.0,1.0,0.017949358482795795,0.025702767084642378,0.14377815861102453,2.1293713799136147,0.021889607344973094,True
method1,142,80.0,0.01,5.0,0.1,1.0,2.0,0.015770688959346368,0.009212356882021816,0.06010719591286774,0.9342041846224813,0.01743993496991496,True
method1,143,80.0,0.01,5.0,1.0,1.0,1.0,0.0369037200786577,0.043514922415495136,0.25269082547740573,3.4925244270076825,0.04370379880170965,True
method1,144,80.0,0.01,5.0,1.0,1.0,2.0,0.026634998579094828,0.02046913803420605,0.14742094341465778,1.9159296268469324,0.030541382260811448,True
