method,idx,kp,lam,gamma,reg,power,clip,mean_pos,final_pos,drift,solver,score,ok
method2,92,40.0,2.0,1.0,1e-06,0.9,1.0,0.07749097124693974,0.11786164485173091,0.2877533692739227,4.730206377210451,0.08561114182102342,False
method2,93,40.0,2.0,1.0,0.0001,1.0,1.0,0.0775167796911599,0.11775501157915949,0.2874946069208994,4.725594868813096,0.08562946926398445,False
method2,94,40.0,2.0,2.0,1e-08,0.8,1.0,0.07353301431050355,0.10653909949353405,0.2695485544116546,4.262647130906182,0.08105530896418973,False
method2,95,40.0,2.0,2.0,1e-06,0.9,1.0,0.07353166736541361,0.10641800979061393,0.26924035463235113,4.2574099281993245,0.08104517942216029,False
method2,96,40.0,2.0,2.0,0.0001,1.0,1.0,0.07355612964848443,0.10624483653098862,0.2687652899598893,4.2499295619098465,0.08105640022863714,False
method2,97,40.0,2.0,5.0,1e-08,0.8,1.0,0.06272707913408086,0.05548909368020769,0.16815638069015534,2.3060191323959085,0.06724321631408194,False
method2,98,40.0,2.0,5.0,1e-06,0.9,1.0,0.0627520984614237,0.05519500725178113,0.16731866233628298,2.2951661938751675,0.06724605480508694,False
method2,99,40.0,2.0,5.0,0.0001,1.0,1.0,0.06283441590610402,0.05491485717187245,0.16642688719649285,2.284880925516042,0.06730539411279189,False
method2,100,40.0,2.0,10.0,1e-08,0.8,1.0,0.03830365557232798,0.054642894235535366,0.2992236668643536,2.198703699634363,0.04538748075943223,True
method2,101,40.0,2.0,10.0,1e-06,0.9,1.0,0.03812808470966699,0.05494696603028091,0.3010146372787259,2.2132416027682256,0.04525499825662562,True
method2,102,40.0,2.0,10.0,0.0001,1.0,1.0,0.038579749668898086,0.05519405311093132,0.3024089840565364,2.2195123188092536,0.04573768550943344,True
method2,103,40.0,2.0,20.0,1e-08,0.8,1.0,0.030821387389815404,0.0586344479741663,0.322908513618941,2.426029222485826,0.03849257227343714,True
method2,104,40.0,2.0,20.0,1e-06,0.9,1.0,0.03157379935369776,0.05810287436089309,0.3204705192748185,2.325015979861302,0.03914571772912478,True
method2,105,40.0,2.0,20.0,0.0001,1.0,1.0,0.03165296745779494,0.05759541498966738,0.31667701922397273,2.323107789324426,0.03914806173693661,True
method2,106,40.0,2.0,50.0,1e-08,0.8,1.0,0.026890984033549708,0.05816695996099862,0.32166918230090924,2.3808237237414103,0.0345147795414386,True
method2,107,40.0,2.0,50.0,1e-06,0.9,1.0,0.02779629659441128,0.05782819398766569,0.3192030325126109,2.3099340071818966,0.035335324248254446,True
method2,108,40.0,2.0,50.0,0.0001,1.0,1.0,0.027644003765451185,0.054180421609388366,0.3007418683875701,2.430795603257442,0.03487423893483131,True
method2,109,40.0,5.0,1.0,1e-08,0.8,1.0,0.07624896876648857,0.1202587898423154,0.26756120208842504,4.8619154109886535,0.0840311505137514,False
method2,110,40.0,5.0,1.0,1e-06,0.9,1.0,0.07624761308972601,0.12020728812357354,0.26745761694416353,4.859692351413435,0.08402661160431599,False
method2,111,40.0,5.0,1.0,0.0001,1.0,1.0,0.07627019753397785,0.12013934558143922,0.2673525764831593,4.856613328304645,0.08404555572779335,False
method2,112,40.0,5.0,2.0,1e-08,0.8,1.0,0.07260924456963387,0.1089268833555965,0.24020107051905734,4.387612662201321,0.07960707231111569,False
method2,113,40.0,5.0,2.0,1e-06,0.9,1.0,0.07259712787002365,0.10881072917814363,0.24002502551909444,4.382478803818136,0.07958886778231461,False
method2,114,40.0,5.0,2.0,0.0001,1.0,1.0,0.07261846713839057,0.10868512428101504,0.23979181159313362,4.37658321973917,0.07960259498012281,False
method2,115,40.0,5.0,5.0,1e-08,0.8,1.0,0.062248722559282293,0.0708807834810133,0.16957535477669153,2.7995294053892845,0.06703999435751076,False
method2,116,40.0,5.0,5.0,1e-06,0.9,1.0,0.0622555725029232,0.07067382901115354,0.16895015179753461,2.7896898939863095,0.06702942048586705,False
method2,117,40.0,5.0,5.0,0.0001,1.0,1.0,0.06238080938264289,0.07084559731407261,0.1692188863707896,2.7961263527269575,0.06716325028642217,False
method2,118,40.0,5.0,10.0,1e-08,0.8,1.0,0.04763191423647756,0.023421057222756395,0.07914830764248233,0.8791945281013425,0.049654477653377875,True
method2,119,40.0,5.0,10.0,1e-06,0.9,1.0,0.047909012001416444,0.02332337640088117,0.07827113201066345,0.8842380876949478,0.049916553685477184,True
method2,120,40.0,5.0,10.0,0.0001,1.0,1.0,0.04833807146841458,0.02325315145004006,0.07734430636565989,0.8897715512007675,0.05032984337132816,True
method2,121,40.0,5.0,20.0,1e-08,0.8,1.0,0.032091204796672684,0.037871408904188816,0.20596328046617826,1.5170805173709174,0.03696901066468171,True
