case_id,task_gain,mu_gain,activation_power,solver_substeps,solver_gamma_gain,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,mean_inner_residual_norm,wall_clock_run_s,result_dir,composite_score
tg200_mu10p0_ap0p90_ns60_gg2560,200.0,10.0,0.9,60,2560.0,ok,0.00020024312580388582,1.0803834778475377e-06,3.828334506921475e-06,0.0041098572820699114,6.092630099999951,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg200_mu10p0_ap0p90_ns60_gg2560\offline,1.4433278699820258
tg160_mu10p0_ap0p90_ns60_gg3840,160.0,10.0,0.9,60,3840.0,ok,0.00020037779800968054,1.1830910481538837e-06,4.0233729264658916e-06,0.0035183315073504928,6.178963999998814,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg160_mu10p0_ap0p90_ns60_gg3840\offline,1.4711624600908042
tg200_mu14p0_ap0p90_ns40_gg1280,200.0,14.0,0.9,40,1280.0,ok,0.0001941326263128631,1.200887765078266e-06,2.2259585993662835e-06,0.01079975794127456,4.605265799997142,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg200_mu14p0_ap0p90_ns40_gg1280\offline,1.4773027969011756
tg120_mu14p0_ap0p90_ns40_gg3840,120.0,14.0,0.9,40,3840.0,ok,0.000196479006704259,1.4096399753383762e-06,2.8488115641590213e-06,0.007792189554976652,4.55983660000129,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg120_mu14p0_ap0p90_ns40_gg3840\offline,1.495387111575324
tg160_mu10p0_ap0p90_ns60_gg2560,160.0,10.0,0.9,60,2560.0,ok,0.00019927282392582808,1.2533187342522431e-06,3.9823253555962415e-06,0.004063430957927113,6.083311900001718,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg160_mu10p0_ap0p90_ns60_gg2560\offline,1.5004566868495273
tg200_mu10p0_ap0p90_ns60_gg1280,200.0,10.0,0.9,60,1280.0,ok,0.00019803800673636932,1.2126465999206096e-06,3.863905573917741e-06,0.005082369071476943,6.106019400001969,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg200_mu10p0_ap0p90_ns60_gg1280\offline,1.5157787973395878
tg200_mu10p0_ap0p90_ns40_gg3840,200.0,10.0,0.9,40,3840.0,ok,0.0002000460886798412,1.1077291210773774e-06,4.114382036769419e-06,0.005542583270059069,4.602938299998641,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg200_mu10p0_ap0p90_ns40_gg3840\offline,1.564293342648703
tg160_mu10p0_ap0p90_ns60_gg1280,160.0,10.0,0.9,60,1280.0,ok,0.00019653499527575927,1.410068457523601e-06,3.98690644167687e-06,0.005033011835951634,5.9485172999993665,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg160_mu10p0_ap0p90_ns60_gg1280\offline,1.571094963892456
tg120_mu10p0_ap0p90_ns60_gg3840,120.0,10.0,0.9,60,3840.0,ok,0.00019909225021437637,1.4432676376777744e-06,4.308801377591862e-06,0.0035580649852130055,6.057272100002592,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg120_mu10p0_ap0p90_ns60_gg3840\offline,1.5719428140082603
tg160_mu14p0_ap0p90_ns40_gg1280,160.0,14.0,0.9,40,1280.0,ok,0.00019293558695373248,1.375650726058903e-06,2.6978929555999894e-06,0.010501789025193605,4.61633250000159,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg160_mu14p0_ap0p90_ns40_gg1280\offline,1.579161596666071
tg120_mu14p0_ap0p90_ns40_gg2560,120.0,14.0,0.9,40,2560.0,ok,0.00019459068824120775,1.478662190403046e-06,3.162992438984541e-06,0.0085266175667626,4.588552299999719,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg120_mu14p0_ap0p90_ns40_gg2560\offline,1.5945099470272597
