"stage","trajectory","task_gain","drift_gain","solver_gamma","activation_power","dlccznn_inner_steps","mean_position_error_m","final_position_error_m","final_joint_drift_norm_rad","max_position_error_m","runtime_s","path"
"stage2_solver_coupling","small_circle","340","10","4608","0.75","60","1.72180144151038E-05","4.32253356271209E-06","1.03301263813753E-05","6.80241377669482E-05","6.0072527999946","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g4608_p075_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","4608","0.8","40","1.95204551466104E-05","2.94282481984309E-06","1.16219967678262E-05","0.000187693581623164","4.07183609999629","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g4608_p080_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","4608","0.8","60","1.07113750630361E-05","1.09073999331797E-06","4.06649412350896E-06","4.51075916078701E-05","5.83436680000159","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g4608_p080_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","4608","0.85","40","1.13635102513116E-05","5.7306179183994E-07","3.24074213333769E-06","6.70355851783665E-05","4.14462210000056","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g4608_p085_ns40\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","small_circle","340","10","4608","0.85","60","5.33943368679788E-06","1.35711372721412E-07","5.93578887925673E-07","3.81638826419132E-05","6.0727096000046","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\small_circle_t340_d10_g4608_p085_ns60\single\small_circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","line","300","10","2048","0.75","40","1.70028272803432E-05","4.52478186546977E-06","2.24993832601871E-05","7.46895771249812E-05","3.99688459999743","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\line_t300_d10_g2048_p075_ns40\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","line","300","10","2048","0.75","60","8.49787596708822E-06","2.00626936120241E-06","9.65539213421059E-06","2.71677072405922E-05","5.94315449999704","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\line_t300_d10_g2048_p075_ns60\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","line","300","10","2048","0.8","40","9.70514807228719E-06","1.41436833039047E-06","7.0092430375839E-06","3.39719072220335E-05","3.95123120000062","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\line_t300_d10_g2048_p080_ns40\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","line","300","10","2048","0.8","60","5.5816215475301E-06","8.4739234389851E-07","3.78926842198443E-06","1.67371560807679E-05","5.98071309999796","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\line_t300_d10_g2048_p080_ns60\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","line","300","10","2048","0.85","40","8.10008591939247E-06","5.16443746632119E-07","1.29959036247266E-06","2.54393172471978E-05","4.55113200000051","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\line_t300_d10_g2048_p085_ns40\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
