mode,shape,gamma,ns,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,runtime_s,summary_path
offline,circle,500,5,9.053712059870477e-05,2.0409861497199173e-07,1.0193328017245376e-06,1.843785899996874,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\circle\g500_ns5\single\circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,circle,500,10,5.2951197898415125e-05,1.416424241842626e-07,5.265303288061207e-07,2.77051560000109,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\circle\g500_ns10\single\circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,circle,500,20,2.9831357873044932e-05,1.5797578885320957e-07,6.739336570452577e-07,4.76191700000345,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\circle\g500_ns20\single\circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,circle,500,40,1.7187926626831892e-05,1.5773328922744665e-07,6.744975675959933e-07,8.488564899998892,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\circle\g500_ns40\single\circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,circle,500,60,1.3652139615258823e-05,1.5785687962587383e-07,6.74454038468255e-07,12.719903400000476,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\circle\g500_ns60\single\circle\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,ellipse,80,1,0.0006162828198142422,1.1345605910373368e-06,6.6808891941202705e-06,1.1164572999987286,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\ellipse\g80_ns1\single\ellipse\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,ellipse,80,5,0.00014862950098623072,2.3840731352761753e-07,7.612385480721203e-07,1.8029355000035139,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\ellipse\g80_ns5\single\ellipse\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,ellipse,80,10,9.972408730316402e-05,2.3655258951168686e-07,7.374003019833746e-07,2.6514202000034857,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\ellipse\g80_ns10\single\ellipse\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,ellipse,80,20,8.881909345716103e-05,2.3649315002724848e-07,7.382499284691522e-07,4.6352256999962265,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\ellipse\g80_ns20\single\ellipse\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
offline,ellipse,80,40,8.593878626156279e-05,2.3647019244119872e-07,7.385193475185267e-07,8.806369199999608,C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\dlccznn_inner_tuning_offline_sweep\ellipse\g80_ns40\single\ellipse\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json
