case_id,task_gain,mu_gain,gamma,substeps,activation_power,activation_exp_clip,tau,weight_gain,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,max_drift_norm,runtime_s,composite_score
tg160_mu16_g1280_ns80,160.0,16.0,1280.0,80,0.85,4.0,0.005,1.0,ok,4.1109091762827895e-05,2.022613887542935e-06,2.99823051195738e-06,0.5123572662232005,2.948388699998759,4.329838036022951
tg220_mu12_g1280_ns20,220.0,12.0,1280.0,20,0.85,4.0,0.005,1.0,ok,2.0776686066853243e-05,2.3255139412878414e-06,1.4546209660672456e-05,0.512375919156812,1.1216091999995115,4.4090738252449855
tg220_mu8_g2560_ns40,220.0,8.0,2560.0,40,0.85,4.0,0.005,1.0,ok,4.01479245574621e-06,1.8386235441081097e-06,2.5808223047909892e-05,0.512388030422228,1.6108863000008569,4.646974174688169
tg160_mu8_g1280_ns40,160.0,8.0,1280.0,40,0.85,4.0,0.005,1.0,ok,1.8021102286094934e-05,2.039572500530066e-06,1.7893719784134134e-05,0.5123863853711454,1.5598611999994318,4.654635788613381
tg160_mu8_g1280_ns80,160.0,8.0,1280.0,80,0.85,4.0,0.005,1.0,ok,1.810596550500542e-05,2.038041115429956e-06,1.7938465714383727e-05,0.5123864948568745,2.767196699998749,4.668840034036234
tg120_mu12_g1280_ns40,120.0,12.0,1280.0,40,0.85,4.0,0.005,1.0,ok,3.884004760694602e-05,2.699525823255313e-06,6.41337152039678e-06,0.5123673144675082,1.7736726000002818,4.759805589609421
tg120_mu12_g1280_ns80,120.0,12.0,1280.0,80,0.85,4.0,0.005,1.0,ok,3.902661124889259e-05,2.700469738397665e-06,6.409208742782618e-06,0.5123674966400324,3.183739100000821,4.775545945501456
tg160_mu8_g2560_ns40,160.0,8.0,2560.0,40,0.85,4.0,0.005,1.0,ok,5.5180801634792e-06,2.5272807082244733e-06,2.61166738746064e-05,0.5123891001694288,1.6057273000005807,4.9203561613417826
tg160_mu12_g1280_ns20,160.0,12.0,1280.0,20,0.85,4.0,0.005,1.0,ok,2.856759132672673e-05,3.1880246432426156e-06,1.4977894631915428e-05,0.5123720911612462,1.032417299997178,5.273638699528296
tg120_mu8_g1280_ns40,120.0,8.0,1280.0,40,0.85,4.0,0.005,1.0,ok,2.402789150854597e-05,2.7165259651182647e-06,1.795049779406149e-05,0.5123863948695416,1.946515299998282,5.279569229414319
tg120_mu8_g1280_ns80,120.0,8.0,1280.0,80,0.85,4.0,0.005,1.0,ok,2.414105201137308e-05,2.7143436437539457e-06,1.799219566755442e-05,0.5123865405414425,3.123442000000068,5.295673681100091
tg120_mu8_g2560_ns40,120.0,8.0,2560.0,40,0.85,4.0,0.005,1.0,ok,7.3556244835225485e-06,3.368190039255578e-06,2.6782558147543634e-05,0.5123902905664333,2.035151699998096,5.299690210315134
