case_id,task_gain,mu_gain,gamma,substeps,activation_power,activation_exp_clip,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,max_drift_norm,runtime_s,composite_score
tg220_mu20_g3072_ns80,220.0,20.0,3072.0,80,0.8,4.0,ok,5.469133910153254e-06,1.9935635065379394e-06,2.003716582078133e-06,0.5123565408792876,2.8155147999968904,2.3441129048700207
tg260_mu16_g2048_ns80,260.0,16.0,2048.0,80,0.8,4.0,ok,8.030273715701891e-06,1.202308972763434e-06,1.6471973269647444e-06,0.5123506336034931,2.7354580000028363,2.3539977715526543
tg180_mu16_g2560_ns80,180.0,16.0,2560.0,80,0.8,4.0,ok,7.399449877697467e-06,2.0043934952600866e-06,1.5577311466807293e-06,0.5123553293234512,2.8366773999987345,2.3558332483819484
tg220_mu16_g3072_ns80,220.0,16.0,3072.0,80,0.8,4.0,ok,4.128074589663908e-06,1.9940490080475827e-06,2.405152105634151e-06,0.5123579715939113,3.3086976000013237,2.3922111508481168
tg220_mu16_g2048_ns80,220.0,16.0,2048.0,80,0.8,4.0,ok,9.490273406009601e-06,1.422410556878238e-06,1.3540277737509124e-06,0.5123503903991808,2.7357110000011744,2.427769317431456
tg260_mu20_g2048_ns100,260.0,20.0,2048.0,100,0.8,4.0,ok,1.075498445649613e-05,1.2473048898178895e-06,1.124214731565129e-06,0.5123475189561552,3.328962399999,2.4396655973925174
tg220_mu12_g2560_ns80,220.0,12.0,2560.0,80,0.8,4.0,ok,4.206012756854096e-06,1.6739793386586842e-06,2.5738229572918016e-06,0.5123568685882111,2.9408383000009053,2.4461179220895377
tg180_mu12_g3072_ns100,180.0,12.0,3072.0,100,0.8,4.0,ok,3.527661469488596e-06,1.9816640783948422e-06,2.6469918548979025e-06,0.5123590498657546,3.57079689999955,2.4486069867596294
tg260_mu12_g2048_ns80,260.0,12.0,2048.0,80,0.8,4.0,ok,5.530554474532946e-06,1.2040678245728372e-06,2.426860420462187e-06,0.512354058173534,2.7523550000005343,2.4625841925315393
tg180_mu12_g2048_ns100,180.0,12.0,2048.0,100,0.8,4.0,ok,7.999655001084044e-06,1.7952966180076464e-06,1.7136195682651307e-06,0.5123545858405316,3.4446180000013555,2.4970683901982595
tg260_mu20_g3072_ns100,260.0,20.0,3072.0,100,0.85,4.0,ok,7.612010498879902e-06,1.2439312048307447e-06,1.9858177886705645e-06,0.5123816802377078,3.3550806999992346,2.5041860131957066
tg220_mu12_g2048_ns80,220.0,12.0,2048.0,80,0.8,4.0,ok,6.536127285748367e-06,1.4229589456266543e-06,2.223363371976013e-06,0.512354407937842,2.9250479000002088,2.5246766468600246
tg220_mu20_g2048_ns100,220.0,20.0,2048.0,100,0.8,4.0,ok,1.2710288433382844e-05,1.4740104360321046e-06,7.630463491435706e-07,0.5123466012655692,3.34007279999787,2.5449155614210475
