idx,sub,gamma,solver_lambda,ncp,mean,final,drift,res,min_slack,ok,score
71,80.0,500.0,10.0,1e-06,0.008163404468062787,0.007228602403227534,0.04021895901844338,2.0772797356499546,0.29409967623378064,True,0.011045063384081611
72,80.0,500.0,10.0,0.0001,0.008163419092872451,0.0072211230417748885,0.040177426617610625,2.077208278302498,0.29410432890525895,True,0.011044175903527161
73,80.0,500.0,100.0,1e-08,0.012038961651689845,0.009880240627331728,0.05499861076127208,2.969299131520801,0.40731101499643807,True,0.016108232998436087
74,80.0,500.0,100.0,1e-06,0.0120389616326686,0.009880240532621765,0.054998610224497084,2.96929912185326,0.4073109861556834,True,0.0161082329590118
75,80.0,500.0,100.0,0.0001,0.012038959149108715,0.009880220891308257,0.05499849969321177,2.969284058960784,0.40730812770871605,True,0.016108213201933733
76,80.0,1000.0,0.01,1e-08,0.002081375989129694,0.00047572005322556616,0.0024105675063829336,0.4431470065329185,0.6016546239942331,True,0.0025727343457902707
77,80.0,1000.0,0.01,1e-06,0.002081373664730053,0.00047571942605295636,0.002410563625150458,0.4431457812838768,0.6016546297423859,True,0.002572730718516939
78,80.0,1000.0,0.01,0.0001,0.0020811418602511766,0.00047565674349180114,0.002410175753169181,0.44302310361279806,0.6016551993338544,True,0.002572368478927358
79,80.0,1000.0,0.1,1e-08,0.0029617010208281337,0.0014190862771251058,0.007773745820678416,0.7730930530402352,0.5973214241031608,True,0.0038902689902819373
80,80.0,1000.0,0.1,1e-06,0.0029616995515793078,0.0014190858062863303,0.007773743038582462,0.7730925991774086,0.5973214413413783,True,0.0038902670115283657
81,80.0,1000.0,0.1,0.0001,0.002961552406942883,0.0014190387366112076,0.007773464913594071,0.7730472070584955,0.597323167119372,True,0.00389006891227326
82,80.0,1000.0,1.0,1e-08,0.0048678910167097075,0.003550126879110435,0.019685258998370668,1.2870784878559351,0.5985041289406585,True,0.006548674684533056
83,80.0,1000.0,1.0,1e-06,0.004867890609944102,0.0035501267219826328,0.01968525804418397,1.2870783832756731,0.5985041404835403,True,0.006548674154103454
84,80.0,1000.0,1.0,0.0001,0.004867853760129226,0.0035501110095935077,0.01968516262980673,1.2870057862151218,0.5985053075893199,True,0.006548562798940482
85,80.0,1000.0,10.0,1e-08,0.007373106787841715,0.00634567893242283,0.03529496767805852,1.8911433469206016,0.34566621929109753,True,0.009970149488323487
86,80.0,1000.0,10.0,1e-06,0.007373106703502107,0.006345678855178989,0.03529496723074537,1.8911433257407766,0.34566619979867097,True,0.009970149373857791
87,80.0,1000.0,10.0,0.0001,0.007373099690669262,0.006345671096046831,0.0352949223098308,1.8911414650787004,0.3456643075606325,True,0.009970139601944579
88,80.0,1000.0,100.0,1e-08,0.010250786039428299,0.009148968139845146,0.05089922527342649,2.561745069844716,0.25480967340291083,True,0.013830515614741544
89,80.0,1000.0,100.0,1e-06,0.010250786038720873,0.009148967958371279,0.050899224258550105,2.561745066769037,0.2548096944050535,True,0.013830515590660912
90,80.0,1000.0,100.0,0.0001,0.010250786469800217,0.009148950016773549,0.050899123951552785,2.5617471466879334,0.2548118798824648,True,0.013830516095519206
91,120.0,20.0,0.01,1e-08,0.0072967441797815195,0.005060291882387193,0.02805934998730586,1.884571020930024,0.18436506676236997,True,0.009742502200457661
